model_type,model_played_first,moves,result,num_moves,win_method
standard_dt,True,"[('model', (1, 1)), ('random', (0, 2)), ('model', (2, 2)), ('random', (1, 0)), ('model', (0, 0))]",win,5,diagonal
standard_dt,True,"[('model', (1, 1)), ('random', (2, 0)), ('model', (2, 2)), ('random', (0, 1)), ('model', (0, 0))]",win,5,diagonal
standard_dt,True,"[('model', (1, 1)), ('random', (1, 2)), ('model', (0, 0)), ('random', (2, 0)), ('model', (2, 2))]",win,5,diagonal
standard_dt,True,"[('model', (1, 1)), ('random', (1, 0)), ('model', (0, 0)), ('random', (1, 2)), ('model', (0, 1)), ('random', (2, 2)), ('model', (0, 2))]",win,7,row
standard_dt,True,"[('model', (1, 1)), ('random', (2, 2)), ('model', (2, 0)), ('random', (0, 1)), ('model', (0, 2))]",win,5,diagonal
standard_dt,True,"[('model', (1, 1)), ('random', (0, 0)), ('model', (2, 0)), ('random', (1, 2)), ('model', (0, 2))]",win,5,diagonal
standard_dt,True,"[('model', (1, 1)), ('random', (0, 2)), ('model', (2, 2)), ('random', (2, 0)), ('model', (0, 0))]",win,5,diagonal
standard_dt,True,"[('model', (1, 1)), ('random', (2, 0)), ('model', (2, 2)), ('random', (0, 0)), ('model', (1, 0)), ('random', (2, 1)), ('model', (0, 1)), ('random', (1, 2)), ('model', (0, 2))]",draw,9,none
standard_dt,True,"[('model', (1, 1)), ('random', (0, 2)), ('model', (2, 2)), ('random', (0, 0)), ('model', (0, 1)), ('random', (2, 0)), ('model', (1, 0)), ('random', (2, 1)), ('model', (1, 2))]",win,9,row
standard_dt,True,"[('model', (1, 1)), ('random', (0, 0)), ('model', (2, 0)), ('random', (1, 0)), ('model', (0, 2))]",win,5,diagonal
standard_dt,True,"[('model', (1, 1)), ('random', (2, 1)), ('model', (0, 0)), ('random', (0, 1)), ('model', (0, 2)), ('random', (1, 0)), ('model', (1, 2)), ('random', (2, 0)), ('model', (2, 2))]",win,9,column
standard_dt,True,"[('model', (1, 1)), ('random', (0, 2)), ('model', (2, 2)), ('random', (1, 0)), ('model', (0, 0))]",win,5,diagonal
standard_dt,True,"[('model', (1, 1)), ('random', (0, 2)), ('model', (2, 2)), ('random', (2, 0)), ('model', (0, 0))]",win,5,diagonal
standard_dt,True,"[('model', (1, 1)), ('random', (1, 2)), ('model', (0, 0)), ('random', (1, 0)), ('model', (0, 1)), ('random', (2, 0)), ('model', (2, 2))]",win,7,diagonal
standard_dt,True,"[('model', (1, 1)), ('random', (1, 0)), ('model', (0, 0)), ('random', (1, 2)), ('model', (0, 1)), ('random', (2, 0)), ('model', (2, 2))]",win,7,diagonal
standard_dt,True,"[('model', (1, 1)), ('random', (1, 2)), ('model', (0, 0)), ('random', (2, 2)), ('model', (0, 2)), ('random', (0, 1)), ('model', (2, 0))]",win,7,diagonal
standard_dt,True,"[('model', (1, 1)), ('random', (2, 0)), ('model', (2, 2)), ('random', (0, 2)), ('model', (0, 0))]",win,5,diagonal
standard_dt,True,"[('model', (1, 1)), ('random', (1, 2)), ('model', (0, 0)), ('random', (2, 2)), ('model', (0, 2)), ('random', (2, 1)), ('model', (2, 0))]",win,7,diagonal
standard_dt,True,"[('model', (1, 1)), ('random', (2, 1)), ('model', (0, 0)), ('random', (2, 0)), ('model', (2, 2))]",win,5,diagonal
standard_dt,True,"[('model', (1, 1)), ('random', (2, 2)), ('model', (2, 0)), ('random', (1, 2)), ('model', (0, 2))]",win,5,diagonal
standard_dt,True,"[('model', (1, 1)), ('random', (2, 0)), ('model', (2, 2)), ('random', (1, 2)), ('model', (0, 0))]",win,5,diagonal
standard_dt,True,"[('model', (1, 1)), ('random', (2, 1)), ('model', (0, 0)), ('random', (1, 2)), ('model', (0, 1)), ('random', (2, 0)), ('model', (2, 2))]",win,7,diagonal
standard_dt,True,"[('model', (1, 1)), ('random', (2, 0)), ('model', (2, 2)), ('random', (0, 1)), ('model', (0, 0))]",win,5,diagonal
standard_dt,True,"[('model', (1, 1)), ('random', (0, 2)), ('model', (2, 2)), ('random', (2, 0)), ('model', (0, 0))]",win,5,diagonal
standard_dt,True,"[('model', (1, 1)), ('random', (0, 1)), ('model', (0, 0)), ('random', (1, 2)), ('model', (0, 2)), ('random', (1, 0)), ('model', (2, 0))]",win,7,diagonal
standard_dt,True,"[('model', (1, 1)), ('random', (1, 0)), ('model', (0, 0)), ('random', (0, 2)), ('model', (2, 2))]",win,5,diagonal
standard_dt,True,"[('model', (1, 1)), ('random', (0, 2)), ('model', (2, 2)), ('random', (0, 0)), ('model', (0, 1)), ('random', (2, 0)), ('model', (1, 0)), ('random', (1, 2)), ('model', (2, 1))]",win,9,column
standard_dt,True,"[('model', (1, 1)), ('random', (2, 0)), ('model', (2, 2)), ('random', (1, 2)), ('model', (0, 0))]",win,5,diagonal
standard_dt,True,"[('model', (1, 1)), ('random', (0, 1)), ('model', (0, 0)), ('random', (1, 0)), ('model', (0, 2)), ('random', (1, 2)), ('model', (2, 0))]",win,7,diagonal
standard_dt,True,"[('model', (1, 1)), ('random', (0, 0)), ('model', (2, 0)), ('random', (1, 0)), ('model', (0, 2))]",win,5,diagonal
standard_dt,True,"[('model', (1, 1)), ('random', (0, 0)), ('model', (2, 0)), ('random', (1, 0)), ('model', (0, 2))]",win,5,diagonal
standard_dt,True,"[('model', (1, 1)), ('random', (2, 2)), ('model', (2, 0)), ('random', (1, 2)), ('model', (0, 2))]",win,5,diagonal
