timestamp,model_type,result,total_moves,center_moves,corner_moves,model_played_first,avg_move_time,game_duration
2024-11-30 18:56:54,decision_tree,loss,6,1,3,True,0.0,2.764901161193848
2024-11-30 19:03:52,decision_tree,win,5,1,3,True,0.0,9.389436721801758
2024-11-30 19:03:58,decision_tree,win,5,1,3,True,0.0,4.427504539489746
2024-11-30 19:04:04,decision_tree,win,9,1,4,True,0.0001994609832763,5.164648532867432
2024-11-30 19:04:09,decision_tree,win,5,1,3,True,0.0003769397735595,3.2982301712036133
2024-11-30 19:04:23,decision_tree,loss,8,1,4,True,0.0,13.226525783538818
2024-12-02 18:37:33,random_forest,draw,9,1,4,True,0.0,10.684531450271606
2024-12-02 18:37:45,random_forest,draw,9,1,4,True,0.0,10.4970805644989
2024-12-02 18:37:56,random_forest,win,5,1,3,True,0.0,10.58246612548828
2024-12-02 18:38:00,random_forest,win,5,1,3,True,0.0,2.132246971130371
2024-12-02 18:41:31,random_forest,win,9,1,4,True,0.0,127.65259742736816
2024-12-02 18:42:17,random_forest,win,9,1,4,True,0.00023646354675292968,43.25339412689209
