TL,TM,TR,ML,MM,MR,BL,BM,BR,class
b,b,b,b,b,b,x,b,b,X
b,b,b,b,b,b,x,o,b,X
x,b,b,b,b,b,x,o,b,X
x,b,b,b,o,b,x,o,b,X
x,x,b,b,o,b,x,o,b,X
x,x,b,b,o,b,x,o,o,X
x,x,b,x,o,b,x,o,o,X
x,b,b,b,b,b,b,b,b,O
x,b,o,b,b,b,b,b,b,O
x,b,o,x,b,b,b,b,b,O
x,b,o,x,b,o,b,b,b,O
x,b,o,x,x,o,b,b,b,O
x,b,o,x,x,o,b,b,o,O
b,b,b,x,b,b,b,b,b,D
b,b,b,x,b,o,b,b,b,D
b,b,b,x,b,o,x,b,b,D
b,b,b,x,b,o,x,o,b,D
b,b,x,x,b,o,x,o,b,D
b,b,x,x,o,o,x,o,b,D
b,b,x,x,o,o,x,o,x,D
o,b,x,x,o,o,x,o,x,D
o,x,x,x,o,o,x,o,x,D
b,b,x,b,b,b,b,b,b,X
b,b,x,b,o,b,b,b,b,X
b,b,x,b,o,b,b,b,x,X
b,b,x,b,o,b,b,o,x,X
b,x,x,b,o,b,b,o,x,X
b,x,x,o,o,b,b,o,x,X
x,x,x,o,o,b,b,o,x,X
x,b,b,b,b,b,b,b,b,X
x,b,b,b,b,o,b,b,b,X
x,x,b,b,b,o,b,b,b,X
x,x,b,b,b,o,b,b,o,X
x,x,x,b,b,o,b,b,o,X
b,b,b,b,b,x,b,b,b,O
b,b,b,b,b,x,b,b,o,O
b,b,b,x,b,x,b,b,o,O
b,o,b,x,b,x,b,b,o,O
b,o,x,x,b,x,b,b,o,O
b,o,x,x,o,x,b,b,o,O
x,o,x,x,o,x,b,b,o,O
x,o,x,x,o,x,b,o,o,O
b,b,b,b,b,b,b,b,x,O
b,b,b,b,b,b,b,o,x,O
b,b,b,b,x,b,b,o,x,O
o,b,b,b,x,b,b,o,x,O
o,x,b,b,x,b,b,o,x,O
o,x,b,o,x,b,b,o,x,O
o,x,b,o,x,x,b,o,x,O
o,x,b,o,x,x,o,o,x,O
b,b,b,b,b,b,b,b,x,D
o,b,b,b,b,b,b,b,x,D
o,b,b,b,b,b,x,b,x,D
o,b,o,b,b,b,x,b,x,D
o,b,o,b,x,b,x,b,x,D
o,b,o,b,x,b,x,o,x,D
o,b,o,x,x,b,x,o,x,D
o,b,o,x,x,o,x,o,x,D
o,x,o,x,x,o,x,o,x,D
b,b,b,b,x,b,b,b,b,D
b,b,b,b,x,b,o,b,b,D
b,b,x,b,x,b,o,b,b,D
b,b,x,o,x,b,o,b,b,D
b,b,x,o,x,x,o,b,b,D
b,o,x,o,x,x,o,b,b,D
x,o,x,o,x,x,o,b,b,D
x,o,x,o,x,x,o,b,o,D
x,o,x,o,x,x,o,x,o,D
b,b,b,b,b,b,b,b,x,D
o,b,b,b,b,b,b,b,x,D
o,x,b,b,b,b,b,b,x,D
o,x,b,b,b,b,b,o,x,D
o,x,b,x,b,b,b,o,x,D
o,x,b,x,b,o,b,o,x,D
o,x,x,x,b,o,b,o,x,D
o,x,x,x,o,o,b,o,x,D
o,x,x,x,o,o,x,o,x,D
b,b,b,x,b,b,b,b,b,X
b,b,b,x,b,b,o,b,b,X
b,x,b,x,b,b,o,b,b,X
b,x,o,x,b,b,o,b,b,X
b,x,o,x,x,b,o,b,b,X
b,x,o,x,x,o,o,b,b,X
x,x,o,x,x,o,o,b,b,X
x,x,o,x,x,o,o,o,b,X
x,x,o,x,x,o,o,o,x,X
b,b,b,b,x,b,b,b,b,X
b,b,o,b,x,b,b,b,b,X
b,b,o,b,x,b,x,b,b,X
b,b,o,b,x,o,x,b,b,X
b,b,o,b,x,o,x,b,x,X
b,o,o,b,x,o,x,b,x,X
x,o,o,b,x,o,x,b,x,X
b,b,b,b,b,x,b,b,b,X
b,b,b,b,b,x,o,b,b,X
b,b,b,b,x,x,o,b,b,X
b,b,o,b,x,x,o,b,b,X
b,x,o,b,x,x,o,b,b,X
b,x,o,b,x,x,o,o,b,X
b,x,o,x,x,x,o,o,b,X
x,b,b,b,b,b,b,b,b,X
x,o,b,b,b,b,b,b,b,X
x,o,b,b,b,x,b,b,b,X
x,o,b,b,b,x,b,o,b,X
x,o,b,b,x,x,b,o,b,X
x,o,b,o,x,x,b,o,b,X
x,o,b,o,x,x,x,o,b,X
x,o,o,o,x,x,x,o,b,X
x,o,o,o,x,x,x,o,x,X
b,b,b,b,b,b,b,x,b,X
b,b,b,b,b,o,b,x,b,X
b,b,b,b,x,o,b,x,b,X
b,b,o,b,x,o,b,x,b,X
b,b,o,b,x,o,b,x,x,X
b,b,o,o,x,o,b,x,x,X
b,x,o,o,x,o,b,x,x,X
b,b,b,b,b,b,b,x,b,O
b,b,o,b,b,b,b,x,b,O
b,b,o,b,b,x,b,x,b,O
